Community,Isolate1,Isolate2,InteractionType,From,To,CarbonSource,GrowthRateVariable,PairGrowthRateVariable
C1R4,2,3,exclusion,2,3,formate,LagTime,0.0552901372925441
C1R4,2,3,exclusion,2,3,formate,MaxGrowthRate,0.00227183885404504
C1R4,2,3,exclusion,2,3,formate,MaxOD,0.0182006573185999
C1R4,2,3,exclusion,2,3,glucose,LagTime,0.26422148733932
C1R4,2,3,exclusion,2,3,glucose,MaxGrowthRate,0.306053723647298
C1R4,2,3,exclusion,2,3,glucose,MaxOD,0.173609889881239
C1R4,2,3,exclusion,2,3,glycerol,LagTime,0.42946938503711
C1R4,2,3,exclusion,2,3,glycerol,MaxGrowthRate,0.115060129118795
C1R4,2,3,exclusion,2,3,glycerol,MaxOD,0.294565567640085
C1R4,2,3,exclusion,2,3,inositol,LagTime,28.9701736195475
C1R4,2,3,exclusion,2,3,inositol,MaxGrowthRate,0.00814861700187432
C1R4,2,3,exclusion,2,3,inositol,MaxOD,0.0190393294194103
C1R4,2,3,exclusion,2,3,Lglutamate,LagTime,1.06301673284487
C1R4,2,3,exclusion,2,3,Lglutamate,MaxGrowthRate,0.149948820714801
C1R4,2,3,exclusion,2,3,Lglutamate,MaxOD,0.216149502804206
C1R4,2,3,exclusion,2,3,phenylalanine,LagTime,0.07120889142945
C1R4,2,3,exclusion,2,3,phenylalanine,MaxGrowthRate,0.000405833064609381
C1R4,2,3,exclusion,2,3,phenylalanine,MaxOD,0.0044636165275123
C1R4,2,3,exclusion,2,3,succinate,LagTime,14.6074383567123
