ExpID,ID,Community,Isolate,SID,K,T_mid,R,CS,maxOD,R16,R24,R48,RUpper,RMid,RLow,R16_water,R24_water,R48_water,RUpper_water,RMid_water,RLow_water,Family,SangerID
11.2.B.4.2,455,C11R2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.2.B.6,350,C11R2,10,350_2-Ketogluconate,0.0912092262868081,12.5488584097408,0.368104105564364,2-Ketogluconate,0.129,0.051065220598382,0.0441681461768824,0.0192828450542091,0.0467095498421405,0.0607946433151594,0.0536463490607156,0.0347689405894507,0.0346451601892492,0.0200130067337028,0.0367815189697755,0.0394799709485118,0.0544356424523519,Pseudomonadaceae,350
11.2.B.6,350,C11R2,10,350_2-Oxoglutarate,0.448091313149333,15.6892432090056,0.286733377960786,2-Oxoglutarate,0.459,0.122301944978833,0.100406935180036,0.0526519849202305,0.0926540346129641,0.114341869545255,0.122726829487114,0.0347689405894507,0.0346447583571471,0.0200127747741449,0.0343928415149831,0.032551974612803,0.0321349713675633,Pseudomonadaceae,350
11.2.B.6,350,C11R2,10,350_Acetate,3383967.88379882,162.878366029305,0.154418468892173,Acetate,0.075,0,0.00203723849136429,0.0205278126604698,0.0103566920358161,0.0068622862296965,0.00596222593661533,0.0347689405894507,0.0346451601892492,0.0200126587963824,0.0226688309149874,0.0238382037496031,0.0288281163849083,Pseudomonadaceae,350
11.2.B.6,350,C11R2,10,350_Citrate,0.394241945451885,14.6713237499894,0.281788670106986,Citrate,0.404,0.123663695727148,0.0960390529355048,0.0495474527916618,0.106429054796035,0.11708736152943,0.123505207517134,0.0347689405894507,0.0346447583571471,0.0200128907532517,0.0346054430063411,0.0325080757612862,0.0362093795243251,Pseudomonadaceae,350
11.2.B.6,350,C11R2,10,350_D-Fructose,0.197686048738089,17.3169485656852,0.308413917361205,D-Fructose,0.236,0.0674175722582885,0.0704165843097896,0.0393702267507176,0.0698839287086465,0.0678591692906386,0.045780503489695,0.0347695521372854,0.034645562030673,0.0200131227154982,0.0316884510391609,0.0362100603821252,0.0546842804319971,Pseudomonadaceae,350
11.2.B.6,350,C11R2,10,350_D-Galactose,0.141490181619304,15.1852145304925,0.455236535133847,D-Galactose,0.213,0.0651955869745693,0.0669945059931335,0.0299403910163345,0.0724183711283304,0.0651955869745693,0.0671006802216809,0.0347695521372854,0.0346459638814186,0.0200131227154982,0.0346054430063411,0.0347695521372854,0.0544356424523519,Pseudomonadaceae,350
11.2.B.6,350,C11R2,10,350_D-Glucose,0.142800451990834,14.9601245451083,0.523555428922343,D-Glucose,0.182,0.0737521991103801,0.0708897405410504,0.0312007160182992,0.0748832767306936,0.0436064745697992,0.0282464328603958,0.0347695521372854,0.034645562030673,0.0200131227154982,0.0367701081593182,0.0444352645455429,0.0306124818358388,Pseudomonadaceae,350
11.2.B.6,350,C11R2,10,350_D-Lactate,0.343622388881303,16.724552206517,0.275801255865143,D-Lactate,0.365,0.100660244989485,0.0879565648603889,0.047261043223949,0.0718529920099774,0.0837083972011764,0.0945302670074708,0.0347689405894507,0.0346447583571471,0.0200128907532517,0.0288281163849083,0.0345980138928453,0.0335152389047587,Pseudomonadaceae,350
11.2.B.6,350,C11R2,10,350_D-Ribose,0.176196572999619,20.3627399148212,0.195622476582166,D-Ribose,0.177,0.0547717095534487,0.0560175661385659,0.0341944444801762,0.0558655001412995,0.0487105032481486,0.0680643916102118,0.0347695521372854,0.034645562030673,0.0200130067337028,0.0380042581299495,0.032509118422001,0.0486040767645666,Pseudomonadaceae,350
